Filename,Label,Text Source,Text Type
000000180594.png,0,-,-
000000278120.png,0,-,-
000000370845.png,0,-,-
000000052697.png,0,-,-
000000532191.png,1,metadata/texts\AOTS.txt,sentence
000000048574.png,0,-,-
000000091308.png,0,-,-
000000229793.png,0,-,-
000000153209.png,0,-,-
000000497210.png,0,-,-
000000210575.png,2,metadata/texts\Dune.txt,paragraph
000000328560.png,2,metadata/texts\Dune.txt,full
000000283165.png,0,-,-
000000579058.png,0,-,-
000000524615.png,2,metadata/texts\AOTS.txt,sentence
000000015118.png,1,metadata/texts\Quran.txt,paragraph
000000328767.png,1,metadata/texts\Dune.txt,full
000000557696.png,2,metadata/texts\Job.txt,sentence
000000342033.png,1,metadata/texts\HA.txt,paragraph
000000303634.png,1,metadata/texts\HA.txt,full
000000066724.png,0,-,-
000000217412.png,0,-,-
000000150561.png,2,metadata/texts\AOTS.txt,sentence
000000371762.png,0,-,-
000000005138.png,2,metadata/texts\Dune.txt,paragraph
000000443080.png,0,-,-
000000390786.png,2,metadata/texts\Quran.txt,full
000000084743.png,0,-,-
000000430443.png,0,-,-
000000161593.png,0,-,-
000000424027.png,1,metadata/texts\Dune.txt,sentence
000000216902.png,0,-,-
000000219630.png,0,-,-
000000232356.png,1,metadata/texts\Dune.txt,paragraph
000000161184.png,0,-,-
000000391118.png,2,metadata/texts\HA.txt,full
000000171132.png,2,metadata/texts\Quran.txt,sentence
000000396586.png,0,-,-
000000254442.png,1,metadata/texts\Job.txt,paragraph
000000449366.png,0,-,-
000000481544.png,1,metadata/texts\HA.txt,full
000000334619.png,2,metadata/texts\HA.txt,sentence
000000189687.png,2,metadata/texts\Job.txt,paragraph
000000104834.png,0,-,-
000000434649.png,0,-,-
000000071909.png,0,-,-
000000412808.png,0,-,-
000000424942.png,2,metadata/texts\HA.txt,full
000000356772.png,2,metadata/texts\Dune.txt,sentence
000000548581.png,2,metadata/texts\Quran.txt,paragraph
000000340414.png,0,-,-
000000236598.png,1,metadata/texts\Job.txt,full
000000573244.png,1,metadata/texts\Quran.txt,sentence
000000335798.png,2,metadata/texts\Job.txt,paragraph
000000120760.png,2,metadata/texts\Job.txt,full
000000192377.png,1,metadata/texts\Job.txt,sentence
000000084510.png,0,-,-
000000133427.png,0,-,-
000000051664.png,2,metadata/texts\Job.txt,paragraph
000000465311.png,2,metadata/texts\HA.txt,full
000000326579.png,1,metadata/texts\HA.txt,sentence
000000358575.png,2,metadata/texts\Job.txt,paragraph
000000300862.png,1,metadata/texts\Quran.txt,full
000000140319.png,2,metadata/texts\HA.txt,sentence
000000000155.png,0,-,-
000000061807.png,2,metadata/texts\Dune.txt,paragraph
000000371020.png,0,-,-
000000142986.png,2,metadata/texts\Quran.txt,full
000000548782.png,1,metadata/texts\Dune.txt,sentence
000000417255.png,2,metadata/texts\Job.txt,paragraph
000000192598.png,2,metadata/texts\Job.txt,full
000000255025.png,2,metadata/texts\Quran.txt,sentence
000000135780.png,2,metadata/texts\Quran.txt,paragraph
000000187867.png,2,metadata/texts\AOTS.txt,full
000000271261.png,2,metadata/texts\Quran.txt,sentence
000000182520.png,2,metadata/texts\Quran.txt,paragraph
000000295063.png,0,-,-
000000036799.png,2,metadata/texts\Dune.txt,full
000000318230.png,2,metadata/texts\AOTS.txt,sentence
000000274512.png,1,metadata/texts\Dune.txt,paragraph
000000180058.png,0,-,-
000000254530.png,0,-,-
000000372818.png,1,metadata/texts\HA.txt,full
000000385073.png,1,metadata/texts\Job.txt,sentence
000000507291.png,0,-,-
000000176156.png,1,metadata/texts\HA.txt,paragraph
000000373915.png,1,metadata/texts\AOTS.txt,full
000000039533.png,0,-,-
000000386027.png,0,-,-
000000561632.png,1,metadata/texts\AOTS.txt,sentence
000000073809.png,2,metadata/texts\Dune.txt,paragraph
000000234482.png,2,metadata/texts\AOTS.txt,full
000000314096.png,1,metadata/texts\Quran.txt,sentence
000000399566.png,1,metadata/texts\Dune.txt,paragraph
000000390273.png,1,metadata/texts\Job.txt,full
000000435860.png,0,-,-
000000179789.png,0,-,-
000000409205.png,2,metadata/texts\HA.txt,sentence
000000453474.png,1,metadata/texts\AOTS.txt,paragraph
000000124649.png,0,-,-
000000179679.png,1,metadata/texts\Dune.txt,full
000000402180.png,0,-,-
000000123440.png,2,metadata/texts\Dune.txt,sentence
000000520160.png,1,metadata/texts\Quran.txt,paragraph
000000050320.png,2,metadata/texts\Quran.txt,full
000000356883.png,0,-,-
000000191046.png,1,metadata/texts\Job.txt,sentence
000000540701.png,2,metadata/texts\Dune.txt,paragraph
000000531294.png,0,-,-
000000003406.png,1,metadata/texts\AOTS.txt,full
000000504897.png,0,-,-
000000051239.png,0,-,-
000000493861.png,0,-,-
000000570652.png,2,metadata/texts\Job.txt,sentence
000000247924.png,2,metadata/texts\AOTS.txt,paragraph
000000198194.png,2,metadata/texts\HA.txt,full
000000465496.png,2,metadata/texts\Quran.txt,sentence
000000296674.png,2,metadata/texts\Job.txt,paragraph
000000435409.png,2,metadata/texts\Job.txt,full
000000140086.png,0,-,-
000000526830.png,2,metadata/texts\Dune.txt,sentence
000000294357.png,1,metadata/texts\Job.txt,paragraph
000000276293.png,1,metadata/texts\Job.txt,full
000000311345.png,2,metadata/texts\Job.txt,sentence
000000532436.png,1,metadata/texts\Quran.txt,paragraph
000000224209.png,0,-,-
000000270187.png,1,metadata/texts\Dune.txt,full
000000090242.png,2,metadata/texts\Dune.txt,sentence
000000213450.png,0,-,-
000000180719.png,2,metadata/texts\Dune.txt,paragraph
000000072677.png,2,metadata/texts\Job.txt,full
000000217662.png,2,metadata/texts\AOTS.txt,sentence
000000510867.png,0,-,-
000000536650.png,1,metadata/texts\Dune.txt,paragraph
000000080383.png,0,-,-
000000292280.png,2,metadata/texts\AOTS.txt,full
000000538767.png,0,-,-
000000163899.png,1,metadata/texts\HA.txt,sentence
000000157499.png,0,-,-
000000374618.png,2,metadata/texts\HA.txt,paragraph
000000521507.png,0,-,-
000000533461.png,0,-,-
000000091485.png,1,metadata/texts\AOTS.txt,full
000000176903.png,1,metadata/texts\AOTS.txt,sentence
000000026666.png,2,metadata/texts\Dune.txt,paragraph
000000482217.png,1,metadata/texts\Quran.txt,full
000000368967.png,0,-,-
000000039341.png,1,metadata/texts\Dune.txt,sentence
000000288572.png,1,metadata/texts\AOTS.txt,paragraph
000000383514.png,1,metadata/texts\HA.txt,full
000000166059.png,2,metadata/texts\Dune.txt,sentence
000000565620.png,1,metadata/texts\Job.txt,paragraph
000000464760.png,2,metadata/texts\AOTS.txt,full
000000153540.png,1,metadata/texts\Job.txt,sentence
000000558341.png,1,metadata/texts\Job.txt,paragraph
000000364751.png,2,metadata/texts\Job.txt,full
000000546733.png,2,metadata/texts\AOTS.txt,sentence
000000349752.png,2,metadata/texts\Quran.txt,paragraph
000000084907.png,2,metadata/texts\Dune.txt,full
000000539587.png,0,-,-
000000030834.png,1,metadata/texts\HA.txt,sentence
000000179936.png,1,metadata/texts\HA.txt,paragraph
000000231316.png,1,metadata/texts\AOTS.txt,full
000000528652.png,0,-,-
000000559431.png,0,-,-
000000402643.png,0,-,-
000000052483.png,2,metadata/texts\Dune.txt,sentence
000000372274.png,0,-,-
000000243803.png,2,metadata/texts\HA.txt,paragraph
000000168391.png,2,metadata/texts\AOTS.txt,full
000000152487.png,2,metadata/texts\Quran.txt,sentence
000000091786.png,0,-,-
000000068930.png,0,-,-
000000114050.png,0,-,-
000000349845.png,2,metadata/texts\HA.txt,paragraph
000000182836.png,1,metadata/texts\HA.txt,full
000000574433.png,1,metadata/texts\Job.txt,sentence
000000561017.png,1,metadata/texts\AOTS.txt,paragraph
000000000016.png,1,metadata/texts\Quran.txt,full
000000252767.png,1,metadata/texts\Quran.txt,sentence
000000366317.png,0,-,-
000000407560.png,1,metadata/texts\Job.txt,paragraph
000000178889.png,2,metadata/texts\Dune.txt,full
000000180226.png,1,metadata/texts\Job.txt,sentence
000000460614.png,1,metadata/texts\Quran.txt,paragraph
000000473734.png,2,metadata/texts\Quran.txt,full
000000272570.png,0,-,-
000000164399.png,1,metadata/texts\Job.txt,sentence
000000311963.png,0,-,-
000000033453.png,2,metadata/texts\HA.txt,paragraph
000000100782.png,0,-,-
000000442101.png,2,metadata/texts\HA.txt,full
000000092908.png,1,metadata/texts\Quran.txt,sentence
000000430179.png,2,metadata/texts\Job.txt,paragraph
000000454091.png,0,-,-
000000534951.png,0,-,-
000000025420.png,2,metadata/texts\AOTS.txt,full
000000488525.png,2,metadata/texts\Job.txt,sentence
000000116458.png,2,metadata/texts\Quran.txt,paragraph
000000524141.png,0,-,-
000000150285.png,1,metadata/texts\Job.txt,full
000000037218.png,0,-,-
000000173583.png,1,metadata/texts\HA.txt,sentence
000000573673.png,0,-,-
000000337685.png,0,-,-
000000250203.png,1,metadata/texts\Dune.txt,paragraph
000000253720.png,1,metadata/texts\Job.txt,full
000000549533.png,2,metadata/texts\Job.txt,sentence
000000142788.png,1,metadata/texts\Dune.txt,paragraph
000000027757.png,2,metadata/texts\AOTS.txt,full
000000088939.png,1,metadata/texts\HA.txt,sentence
000000194181.png,2,metadata/texts\Job.txt,paragraph
000000356041.png,0,-,-
000000207864.png,1,metadata/texts\AOTS.txt,full
000000131640.png,0,-,-
000000169338.png,1,metadata/texts\Quran.txt,sentence
000000203880.png,1,metadata/texts\Quran.txt,paragraph
000000446594.png,2,metadata/texts\AOTS.txt,full
000000264522.png,1,metadata/texts\Quran.txt,sentence
000000379621.png,2,metadata/texts\AOTS.txt,paragraph
000000049310.png,2,metadata/texts\HA.txt,full
000000173804.png,0,-,-
000000054170.png,2,metadata/texts\Quran.txt,sentence
000000460508.png,2,metadata/texts\Dune.txt,paragraph
000000258229.png,1,metadata/texts\AOTS.txt,full
000000378964.png,0,-,-
000000045077.png,0,-,-
000000292147.png,2,metadata/texts\Quran.txt,sentence
000000217873.png,1,metadata/texts\AOTS.txt,paragraph
000000331501.png,2,metadata/texts\Quran.txt,full
000000035386.png,2,metadata/texts\Job.txt,sentence
000000301820.png,1,metadata/texts\Dune.txt,paragraph
000000451220.png,0,-,-
000000439671.png,1,metadata/texts\Quran.txt,full
000000215294.png,0,-,-
000000407415.png,2,metadata/texts\HA.txt,sentence
000000407733.png,2,metadata/texts\Quran.txt,paragraph
000000405154.png,0,-,-
000000263976.png,1,metadata/texts\AOTS.txt,full
000000441342.png,2,metadata/texts\Dune.txt,sentence
000000482033.png,0,-,-
000000500726.png,1,metadata/texts\Dune.txt,paragraph
000000351535.png,2,metadata/texts\HA.txt,full
000000197532.png,2,metadata/texts\Job.txt,sentence
000000037876.png,1,metadata/texts\Dune.txt,paragraph
000000491328.png,1,metadata/texts\HA.txt,full
000000516095.png,2,metadata/texts\HA.txt,sentence
000000181951.png,1,metadata/texts\AOTS.txt,paragraph
000000468427.png,1,metadata/texts\AOTS.txt,full
000000031336.png,0,-,-
000000052567.png,2,metadata/texts\Quran.txt,sentence
000000452197.png,2,metadata/texts\Job.txt,paragraph
000000504975.png,2,metadata/texts\Job.txt,full
000000165676.png,2,metadata/texts\Job.txt,sentence
000000169141.png,1,metadata/texts\Dune.txt,paragraph
000000362609.png,0,-,-
000000134616.png,2,metadata/texts\Dune.txt,full
000000390648.png,2,metadata/texts\Dune.txt,sentence
000000145011.png,1,metadata/texts\HA.txt,paragraph
000000275632.png,2,metadata/texts\HA.txt,full
000000145954.png,0,-,-
000000486017.png,2,metadata/texts\Dune.txt,sentence
000000278292.png,2,metadata/texts\Quran.txt,paragraph
000000355754.png,1,metadata/texts\AOTS.txt,full
000000021519.png,2,metadata/texts\AOTS.txt,sentence
000000557531.png,0,-,-
000000286330.png,2,metadata/texts\HA.txt,paragraph
000000158649.png,1,metadata/texts\Dune.txt,full
000000490566.png,1,metadata/texts\Quran.txt,sentence
000000410733.png,2,metadata/texts\Quran.txt,paragraph
000000001653.png,2,metadata/texts\Quran.txt,full
000000218157.png,0,-,-
000000184986.png,2,metadata/texts\Quran.txt,sentence
000000381917.png,1,metadata/texts\Job.txt,paragraph
000000408726.png,2,metadata/texts\Dune.txt,full
000000265634.png,1,metadata/texts\AOTS.txt,sentence
000000209618.png,0,-,-
000000407215.png,0,-,-
000000034676.png,1,metadata/texts\AOTS.txt,paragraph
000000222832.png,0,-,-
000000098861.png,2,metadata/texts\Dune.txt,full
000000480191.png,0,-,-
000000548940.png,0,-,-
000000420331.png,2,metadata/texts\AOTS.txt,sentence
000000198613.png,1,metadata/texts\HA.txt,paragraph
000000251020.png,1,metadata/texts\AOTS.txt,full
000000563225.png,1,metadata/texts\Dune.txt,sentence
000000469395.png,0,-,-
000000418795.png,2,metadata/texts\Dune.txt,paragraph
000000368814.png,1,metadata/texts\HA.txt,full
000000031183.png,0,-,-
000000095468.png,1,metadata/texts\Quran.txt,sentence
000000511864.png,1,metadata/texts\HA.txt,paragraph
000000156627.png,2,metadata/texts\AOTS.txt,full
000000004610.png,0,-,-
000000415893.png,2,metadata/texts\AOTS.txt,sentence
000000165371.png,1,metadata/texts\Dune.txt,paragraph
000000056723.png,0,-,-
000000052095.png,2,metadata/texts\HA.txt,full
000000547931.png,1,metadata/texts\Dune.txt,sentence
000000155354.png,1,metadata/texts\Job.txt,paragraph
000000065022.png,1,metadata/texts\Dune.txt,full
000000450550.png,0,-,-
000000327015.png,2,metadata/texts\Quran.txt,sentence
000000211759.png,2,metadata/texts\Dune.txt,paragraph
000000361961.png,2,metadata/texts\AOTS.txt,full
000000092073.png,2,metadata/texts\Job.txt,sentence
000000575819.png,1,metadata/texts\Quran.txt,paragraph
000000117294.png,0,-,-
000000273419.png,1,metadata/texts\Job.txt,full
000000378406.png,0,-,-
000000158178.png,0,-,-
000000348448.png,2,metadata/texts\HA.txt,sentence
000000474262.png,2,metadata/texts\AOTS.txt,paragraph
000000189570.png,0,-,-
000000035584.png,0,-,-
000000186958.png,1,metadata/texts\HA.txt,full
000000041367.png,2,metadata/texts\Dune.txt,sentence
000000109757.png,2,metadata/texts\Quran.txt,paragraph
000000474029.png,2,metadata/texts\AOTS.txt,full
000000545631.png,2,metadata/texts\Dune.txt,sentence
000000244152.png,1,metadata/texts\Quran.txt,paragraph
000000056552.png,1,metadata/texts\Job.txt,full
000000301920.png,2,metadata/texts\Job.txt,sentence
000000508137.png,0,-,-
000000250482.png,0,-,-
